Label,Furniture_Type,Image_File
steel table ,Table / chair,1634012034777.jpg
house furnitures ,Other,1634012034964.jpg
wall mirror ,Bed / bedroom item,1634012035175.jpg
corner sofa ,Sofa / living room item,1634012035330.jpg
teak dining table with 6 chairs ,Table / chair,1634012035519.jpg
"72"" x 9 inches mattress (spring) ",Bed / bedroom item,1634012035693.jpg
antique almirah ,Antique / art,1634012035883.jpg
l shape sofa ,Sofa / living room item,1634012036034.jpg
antique dining table ,Antique / art,1634012036225.jpg
teak furnitures available  ,Bed / bedroom item,1634012074097.jpg
portable folding laptop reading table ,Sofa / living room item,1634012074301.jpg
black and white vibrating gaming chair ,Table / chair,1634012074462.jpg
l shape sofa ,Sofa / living room item,1634012074642.jpg
beanbag xl size ,Sofa / living room item,1634012074848.jpg
24â tv stand ,TV / stereo,1634012075021.jpg
plastic chair nilkamal mystic ,Table / chair,1634012075184.jpg
sofa bed ,Sofa / living room item,1634012075334.jpg
3+1+1 sofa ,Sofa / living room item,1634012075514.jpg
3+1+1 sofa ,Sofa / living room item,1634012075706.jpg
sofa set ,Sofa / living room item,1634012075875.jpg
thekka almariya ,Storage,1634012076075.jpg
antique pettagama ,Antique / art,1634012076288.jpg
banquet table 4x4 with rexine ,Table / chair,1634012076535.jpg
teak dining table ,Table / chair,1634012076791.jpg
teak wood wardrobe ,Storage,1634012076983.jpg
banquet table 5x5 with rexine ,Table / chair,1634012077183.jpg
modern coffee brown 3 door cupboard piyestra code 3041 ,Bed / bedroom item,1634012077390.jpg
antique furniture collection ,Antique / art,1634012077560.jpg
bunk beds ,Bed / bedroom item,1634012077771.jpg
new melamine 6 by 4 with mirror cupboard ,Storage,1634012078006.jpg
new melamine 6 by 4 cupboard ,Storage,1634012078172.jpg
à¶à·à¶¶à·à¶±à¶§à· ,Sofa / living room item,1634012078367.jpg
melamine 2 door new cupboard ,Storage,1634012078558.jpg
melamine 3 door new o c cupboard ,Storage,1634012078731.jpg
2 door melamine o c cupboard ,Storage,1634012078943.jpg
piyestra 3 fully door melamine cupboard code 3040 ,Bed / bedroom item,1634012079141.jpg
sofa set (white wash and rustic) ,Sofa / living room item,1634012113330.jpg
3 2 1 sofa set ,Sofa / living room item,1634012113534.jpg
sofa set ,Sofa / living room item,1634012113855.jpg
wardrobe ,Bed / bedroom item,1634012114019.jpg
teak veranda chairs ,Table / chair,1634012114182.jpg
4*2 tables ,Table / chair,1634012114318.jpg
teak wooden almari ,Storage,1634012114497.jpg
modern branded study tabels ,Table / chair,1634012114657.jpg
dining set (teak wood) ,Sofa / living room item,1634012114811.jpg
dressing table ,Bed / bedroom item,1634012114983.jpg
sofa set ,Sofa / living room item,1634012115153.jpg
visitor chair armless ,Table / chair,1634012115324.jpg
teak wooden dinning table ,Table / chair,1634012115472.jpg
office chair new hq imported ,Table / chair,1634012115631.jpg
two seater sofa ,Sofa / living room item,1634012115794.jpg
office chair new hq imported ,Table / chair,1634012115949.jpg
new melamine book rack small ,Storage,1634012116108.jpg
bed 6ft *3ft ,Bed / bedroom item,1634012116273.jpg
table ,Table / chair,1634012116425.jpg
table ,Table / chair,1634012116599.jpg
6ft *3ft bed with mattress. ,Bed / bedroom item,1634012116778.jpg
dining chair fg-390 ,Table / chair,1634012116970.jpg
table stool ,Table / chair,1634012117138.jpg
workman locker one unit ,Storage,1634012117289.jpg
filing cabinat 4 drawer ,Storage,1634012117469.jpg
writing table ( 3x2 ) ne ,Table / chair,1634012117644.jpg
piyestra luxerious director chairs ,Table / chair,1634012153767.jpg
hospital storage cupboard ,Storage,1634012154098.jpg
new writing table with rack s ,Table / chair,1634012154299.jpg
office cupboard (80*38.2*183.7)cm ,Storage,1634012154479.jpg
writing table ( 3x 1 1/2 ) ne ,Table / chair,1634012154640.jpg
office cupboard (80*37.5*183)cm ,Storage,1634012154812.jpg
sofa set with coffee table ,Sofa / living room item,1634012154975.jpg
m3 office half door cupboard with glass ,Storage,1634012155126.jpg
sofa set ,Sofa / living room item,1634012155306.jpg
piyestra office cupboard (80*38.2*183.7)cm ,Storage,1634012155457.jpg
visitor chair with arm ,Table / chair,1634012155606.jpg
writing table ( 4x2 ) ne ,Table / chair,1634012155770.jpg
medium back chair ( mbr 16 ) ,Table / chair,1634012155942.jpg
computer chair ( ccr 31 ) ,Table / chair,1634012156079.jpg
piyestra m4 office cupboard 80*37*182)cm ,Storage,1634012156254.jpg
piyestra m4 half door cupboard (80*37*182)cm ,Storage,1634012156421.jpg
piyestra (kingstar) m4 office cupboard (80*37*121)cm ,Storage,1634012156580.jpg
workman locker ,Storage,1634012156734.jpg
office cupboard (80*40.5*76.5)cm ,Storage,1634012156881.jpg
computer chair ,Table / chair,1634012157221.jpg
modern simple dressing table ,Bed / bedroom item,1634012157384.jpg
piyestra lobby chair one seater ,Sofa / living room item,1634012157536.jpg
new foldable tables ,Table / chair,1634012157703.jpg
modern 3 door wardrobe ,Bed / bedroom item,1634012157884.jpg
piyestra ex premium visitor chair ,Table / chair,1634012158050.jpg
computer chair ,Table / chair,1634012201951.jpg
piyestra modern fully-mirror dressing table ,Bed / bedroom item,1634012202140.jpg
office cupboard (6x3) new ,Storage,1634012202365.jpg
dining table with four chairs ,Table / chair,1634012202547.jpg
dining set (abc) ,Table / chair,1634012202742.jpg
à¶à¶«à·à¶«à·à¶©à· à¶¸à·à·à¶º ,Bed / bedroom item,1634012202907.jpg
office table melamine ,Table / chair,1634012203074.jpg
wardrobe ,Storage,1634012203237.jpg
wardrobe ,Storage,1634012203403.jpg
dining table with six chairs ,Table / chair,1634012203541.jpg
2 door storage wardrobe cupboard ,Storage,1634012203720.jpg
dining chairs ,Table / chair,1634012203881.jpg
mahogany sleigh bed ,Bed / bedroom item,1634012204028.jpg
double bed with mattress ,Bed / bedroom item,1634012204236.jpg
settee set ,Sofa / living room item,1634012204373.jpg
wardrobe ,Storage,1634012204531.jpg
dinning set ,Table / chair,1634012204706.jpg
antique reproduction table ,Antique / art,1634012204862.jpg
wardrobe ,Storage,1634012205002.jpg
filing rack ,Storage,1634012205139.jpg
banquet chairs ,Table / chair,1634012205293.jpg
tiffany chairs ,Table / chair,1634012205464.jpg
filing rack ,Storage,1634012205606.jpg
carpet ,Sofa / living room item,1634012205773.jpg
office table melamine ,Table / chair,1634012205941.jpg
damro piyestra spring mattress 8 inch ,Bed / bedroom item,1634012520587.jpg
new office table with keyboard - tb-002 (4x2) ,Table / chair,1634012520894.jpg
exclusive 6ã4teek bed with metress piyestra hui89 ,Bed / bedroom item,1634012521427.jpg
phoenix high utility storage box - 10lt ,Storage,1634012521615.jpg
nob down dining tables 6ch set ,Table / chair,1634012521793.jpg
new attoniya bed with mattress ,Bed / bedroom item,1634012521970.jpg
lamp stand ,Lighting,1634012522134.jpg
used office furniture ,Other,1634012522301.jpg
tv stand ,TV / stereo,1634012522452.jpg
exclusive teek box dressing table new ,Bed / bedroom item,1634012522614.jpg
tv stand ,TV / stereo,1634012522817.jpg
exclusive wamko 6*3 steel office cupboard ,Storage,1634012522999.jpg
exclusive steel wardrobe 6by4 ,Bed / bedroom item,1634012523167.jpg
actonia new 6x4ft / 6x3ft bed with double layer mattresses ,Bed / bedroom item,1634012588135.jpg
steel bed ,Bed / bedroom item,1634012588304.jpg
piyestra/arpico flexifoam spring mattress ,Bed / bedroom item,1634012660204.jpg
branded teak dark box beds ,Bed / bedroom item,1634012660453.jpg
bed 6ft*3ft. ,Bed / bedroom item,1634012708522.jpg
covers for plastic chair ,Table / chair,1634012708859.jpg
antique teak bedroom set ,Antique / art,1634012816704.jpg
teak box model sofa with stool--tbm2607 ,Sofa / living room item,1634012874087.jpg
teak dinning table 8 seats ,Sofa / living room item,1634012906423.jpg
brand new bed ,Bed / bedroom item,1634012986724.jpg
teak wooden chair set ,Sofa / living room item,1634012987001.jpg
bunk beds ,Bed / bedroom item,1634012989047.jpg
sofa set ,Sofa / living room item,1634013085003.jpg
office chair click n see quality ,Table / chair,1634013127749.jpg
teak katrina sofa & stool---tks2503 ,Sofa / living room item,1634013128220.jpg
tables ,Table / chair,1634013190901.jpg
arm with chair ,Table / chair,1634013194960.jpg
table mate ii ,Table / chair,1634013195170.jpg
wardrobe ,Storage,1634013195396.jpg
wardrobe ,Bed / bedroom item,1634013195639.jpg
piyestra low back steel frame visitor chair ,Table / chair,1634013195892.jpg
gamdias zelus e1 gaming chair ,Table / chair,1634013196108.jpg
steel chair ,Table / chair,1634013228607.jpg
teak dining table with 6 chairs ,Table / chair,1634013228813.jpg
teak wood two doors wardrobe ,Bed / bedroom item,1634013229048.jpg
teak wood three door light wardrobe ,Bed / bedroom item,1634013229239.jpg
piyestra (75*60) m2 knock down bed rose m22 ,Bed / bedroom item,1634013229409.jpg
high quality imported sofa ,Sofa / living room item,1634013229599.jpg
arpico pride plus mattress ,Bed / bedroom item,1634013229820.jpg
"size 3""2""1 high quality imported sofa ",Sofa / living room item,1634013230046.jpg
office table 3x2 ne ,Table / chair,1634013230258.jpg
piyestra book rack (76*32*176)cm ,Storage,1634013230424.jpg
piyestra hybrid chair ,Table / chair,1634013230651.jpg
sofa set (imported) ,Sofa / living room item,1634013230871.jpg
mid-mesh hi-back piyestra chairs ,Table / chair,1634013231110.jpg
outdoor table set 4 chair ,Table / chair,1634013231316.jpg
computer chair 001 ,Table / chair,1634013231514.jpg
"size 3""2""1 sofa set ",Sofa / living room item,1634013231718.jpg
new library cupboard glass ,Storage,1634013231917.jpg
bed 6ft *4ft ,Bed / bedroom item,1634013232134.jpg
new melamine writing table r ,Table / chair,1634013232335.jpg
chest of drawers ,Bed / bedroom item,1634013232572.jpg
cupboard ,Storage,1634013232766.jpg
dining table with chairs mahogany ,Table / chair,1634013232972.jpg
sofa set ,Sofa / living room item,1634013233195.jpg
antique sofa ,Antique / art,1634013233388.jpg
director chairs ,Table / chair,1634013233659.jpg
dining table with six chair (teak) ,Table / chair,1634013270119.jpg
teak wood box bed with hybrid mattress ,Bed / bedroom item,1634013270500.jpg
piyestra mid back verandah chair ,Table / chair,1634013270766.jpg
computer chair ,Table / chair,1634013270959.jpg
furniture set - damro shoerack ,Storage,1634013271117.jpg
steel beds ,Bed / bedroom item,1634013271311.jpg
arm chair ,Table / chair,1634013271550.jpg
verandah chair ,Table / chair,1634013271770.jpg
piyestra arm chair ,Table / chair,1634013271986.jpg
melamin cupboard ( 6x4 ) ,Bed / bedroom item,1634013272250.jpg
headboard bed with spring mattress ,Bed / bedroom item,1634013272559.jpg
steel cupboard ( 5x2.5 ) ,Storage,1634013272868.jpg
verandah chair ,Table / chair,1634013273092.jpg
piyestra relax chair ,Table / chair,1634013273294.jpg
piyestra verandah chair ,Table / chair,1634013273504.jpg
piyestra dining chair ,Table / chair,1634013273673.jpg
banquet chair pink bow ,Table / chair,1634013273884.jpg
bunk bed ,Bed / bedroom item,1634013274042.jpg
living room chairs ,Table / chair,1634013274280.jpg
3d bedsheet ,Bed / bedroom item,1634013274532.jpg
dining table ,Table / chair,1634013274746.jpg
new mdf computer table glass ,Table / chair,1634013274968.jpg
steel cupboard lp cb sd ,Storage,1634013275188.jpg
steel half office cupboard ,Storage,1634013275471.jpg
melamine writing table ,Table / chair,1634013275778.jpg
cashier table (steel) ,Table / chair,1634013276110.jpg
6*4 bed ,Bed / bedroom item,1634013321644.jpg
damro kingstar mattress ,Bed / bedroom item,1634013322170.jpg
steel cupboard lp cb dd ,Storage,1634013322436.jpg
steel cupboard 4 by 3 ,Storage,1634013322684.jpg
empire divan bed ,Bed / bedroom item,1634013322899.jpg
double layer mattress 6*3 ,Bed / bedroom item,1634013323103.jpg
office chair 05 ,Table / chair,1634013323316.jpg
new dressing table ,Bed / bedroom item,1634013323521.jpg
arpico bed ,Bed / bedroom item,1634013323734.jpg
new piyestra computer chair arm ,Table / chair,1634013323972.jpg
new visitor chair b ,Table / chair,1634013324210.jpg
office table 4x2 ,Table / chair,1634013324540.jpg
new piyestra visitor chair ,Table / chair,1634013324722.jpg
piyestra executive chairs ,Table / chair,1634013324918.jpg
teak wood sofa set with coffee table ,Sofa / living room item,1634013325113.jpg
steel book cupboard lp gcb 1 ,Storage,1634013325329.jpg
gamdias aphrodite ef1 l bb (black & blue) gaming chair ,Table / chair,1634013325568.jpg
teak three door bed room set package ,Bed / bedroom item,1634013325825.jpg
mattress 6*2.5 ,Bed / bedroom item,1634013326035.jpg
office chair nylon hq with rocking ,Table / chair,1634013326251.jpg
2 door strong teak almirah ,Storage,1634013326451.jpg
gamdias zelus e1 l b (black ) gaming chair ,Table / chair,1634013326655.jpg
old chairs ,Antique / art,1634013326878.jpg
sofa set ,Sofa / living room item,1634013327092.jpg
teak wood box bed ,Bed / bedroom item,1634013327282.jpg
steel office cupboard lp cb 1 ,Storage,1634013327486.jpg
table ,Table / chair,1634013363007.jpg
6 set teak wood sofa with coffee table ,Sofa / living room item,1634013363370.jpg
two sofa set ,Sofa / living room item,1634013363650.jpg
folding bed 6x2.5 ft ,Bed / bedroom item,1634013363890.jpg
study table (melamine) ,Table / chair,1634013364067.jpg
library cupboard ,Storage,1634013364267.jpg
mini cupboard ,Storage,1634013364441.jpg
wardrobe ,Storage,1634013364623.jpg
writing table ,Table / chair,1634013364834.jpg
computer chair (damro) ,Table / chair,1634013365016.jpg
wardrobe ,Storage,1634013365195.jpg
teak heavy modern 2 door based almary code 8991 ,Bed / bedroom item,1634013365377.jpg
teak heavy modern 2 door based almary code mf 8995 ,Bed / bedroom item,1634013365673.jpg
teak heavy dining table and 6 chairs code 9000 ,Table / chair,1634013365937.jpg
depo teak heavy modern pillow sofa set with stone table code 9001 ,Sofa / living room item,1634013366134.jpg
depo teak heavy komadu fabric sofa set with stone table code 9002 ,Sofa / living room item,1634013366389.jpg
office chair ,Table / chair,1634013366673.jpg
teak heavy modern dining table and 6 chairs code 9003 ,Table / chair,1634013366895.jpg
depo teak modern dining table 4 chairs code 9004 ,Table / chair,1634013367094.jpg
teak bed (4*6)(48*72) code 9005 ,Bed / bedroom item,1634013367414.jpg
depo teak heavy modern 2 door display cupboard code 9007 ,Sofa / living room item,1634013367626.jpg
depo teak heavy komadu fabric sofa set with stone table code 9008 ,Sofa / living room item,1634013367934.jpg
depo teak heavy modern fabric sofa set with stone table code 9009 ,Sofa / living room item,1634013368169.jpg
new 2 door almary code 9011 ,Bed / bedroom item,1634013368448.jpg
depo teak heavy bed with fox 8 inch spring mattress (6*6)code9012 ,Bed / bedroom item,1634013368703.jpg
teak heavy modern indian box sofa set with stone table code 9014 ,Sofa / living room item,1634013368958.jpg
mattress 6ft *3ft ,Bed / bedroom item,1634013420250.jpg
japanese bonded form mattress 60x72 - jm1707 ,Bed / bedroom item,1634013420970.jpg
wall mount tv stand ,TV / stereo,1634013421300.jpg
sofa set ,Sofa / living room item,1634013421512.jpg
gaming chair 3d armrest full option ,Table / chair,1634013421735.jpg
teak sofa set ,Sofa / living room item,1634013421961.jpg
office chair new hq imported ,Table / chair,1634013422152.jpg
âteak antiq model dressing table - tadt1510ðâ ,Bed / bedroom item,1634013422406.jpg
dressing table ,Bed / bedroom item,1634013422696.jpg
à¶¸à·à·à¶à¶±à· à¶à¶³ à¶¸à·à¶§à·à¶§à¶º à·à¶¸à¶ ,Bed / bedroom item,1634013424915.jpg
teak lotus sofa set with stool - tsl1509 ,Sofa / living room item,1634013425144.jpg
used bed ,Bed / bedroom item,1634013425351.jpg
table ,Table / chair,1634013425599.jpg
teak double bed with mattress 5'x6' ,Bed / bedroom item,1634013425821.jpg
windows ,Other,1634013426022.jpg
brand new 6 x4 coluor singer hayleys spring mettress / 011 ,Bed / bedroom item,1634013426233.jpg
teak stripe pillows sofa set with glass stool - tss1507 ,Sofa / living room item,1634013426483.jpg
steel cubbored ,Other,1634013426676.jpg
dark 6 x6 teak box bed / 011 ,Bed / bedroom item,1634013426930.jpg
dark teak box bed 6 x5 with singer hayleys spring mettress / 011 ,Bed / bedroom item,1634013427156.jpg
à¶­à·à¶à·à¶ à¶´à·à¶§à· à·à·à¶§à·à¶º ,Sofa / living room item,1634013427372.jpg
teak 321 sofa set with glass stool ,Sofa / living room item,1634013427572.jpg
table attonia ,Table / chair,1634013427818.jpg
dark 6 x5 teak box bed with arpico spring mettress / 011 ,Bed / bedroom item,1634013428034.jpg
table ,Table / chair,1634013428248.jpg
maroon colour sofa ,Sofa / living room item,1634013461569.jpg
dark teak box bed with spring mattress 6 x6 / 011 ,Bed / bedroom item,1634013462190.jpg
dark 6 x4 teak box bed with arpico spring mattress / 011 ,Bed / bedroom item,1634013462677.jpg
dark 6 x5 teak box bed / 011 ,Bed / bedroom item,1634013462869.jpg
steel bed w d/l mattress ,Bed / bedroom item,1634013463077.jpg
dressing table ,Bed / bedroom item,1634013463270.jpg
2 door cupboard ,Storage,1634013463459.jpg
melamine 2 door oc cupboard ,Storage,1634013463641.jpg
dark teak box bed with double layer mattress 6 x4 / 011 ,Bed / bedroom item,1634013463840.jpg
teak box bed and japanese form mattress 60x72 - tbjm1706 ,Bed / bedroom item,1634013464052.jpg
teak two door display cupboard 4x6 ,Storage,1634013464228.jpg
dark teak arch bed 6 x4 / 011 ,Bed / bedroom item,1634013464436.jpg
dark teak box bed with hybrid mattress 6 x4 / ,Bed / bedroom item,1634013464651.jpg
brand new coluor large written table with rack / 011 ,Table / chair,1634013464855.jpg
comfortable travel air pillow-mk137 ,Bed / bedroom item,1634013465079.jpg
brand new coluor written table large / 011 ,Table / chair,1634013465271.jpg
new attoniya bed ,Bed / bedroom item,1634013465453.jpg
brand new coluor 3 door cupboard / 011 ,Bed / bedroom item,1634013465647.jpg
dining table with chairs ,Table / chair,1634013465842.jpg
new arpico hybrid mattress ,Bed / bedroom item,1634013465991.jpg
brand new coluor lily cupboard 6 x3 / 011 ,Bed / bedroom item,1634013466163.jpg
piyestra/arpico flexifoam spring mattress ,Bed / bedroom item,1634013466483.jpg
wooden chairs ,Table / chair,1634013466663.jpg
brand new 6 x3 oc cupboard / 011 ,Storage,1634013466870.jpg
brand new coluor 6 x3 kingstar cupboard / 011 ,Bed / bedroom item,1634013467036.jpg
new super hybrid mattress ,Bed / bedroom item,1634013500980.jpg
brand new coluor steel cupboard 6 x4 / 011 ,Bed / bedroom item,1634013501156.jpg
brand new color baby cupboard mdf / 011 ,Storage,1634013501336.jpg
brand new coluor kids set / 011 ,Table / chair,1634013501540.jpg
office chair click n see quality ,Table / chair,1634013501740.jpg
melamine cupboard ,Storage,1634013501929.jpg
mid-mesh managing chairs ,Table / chair,1634013502131.jpg
"attoniya quality beds with mattress 72x48"" ",Bed / bedroom item,1634013502312.jpg
